===== PARAMETERS =====
Total rows : 437
Reference system: Sol
Area of search : 1000 ly
Max distance from star 1000 ls
Gas types Class III gas giant +Class IV gas giant +Class V gas giant +Gas giant with ammonia-based life +Gas giant with water-based life +Hellium-rich gas giant
Ref star types : M (Red giant) Star + M (Red dwarf) Star + M (Red super giant) Star + T Tauri Star
==========
System name,Gas Body Name,Distance from Sol (ly),Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius
Swoilz BY-B b19-6,Swoilz BY-B b19-6 1,665.19,153,Gas giant with water-based life,711,false,Swoilz BY-B b19-6,M (Red dwarf) Star,6,0,0.4631,,1148,2712,Swoilz BY-B b19-6 1 g,704,Icy body,182,1518.0544
Musca Dark Region AL-O b6-0,Musca Dark Region AL-O b6-0 1,527.54,153,Gas giant with water-based life,558.1854,false,Musca Dark Region AL-O b6-0,M (Red dwarf) Star,5,0,0.5399,Va,11576,2887,Musca Dark Region AL-O b6-0 1 f a,547.8154,Icy body,82,615.6681
Suyarang,Suyarang AB 1,79.66,152,Gas giant with water-based life,777.2922,true,Suyarang B,M (Red dwarf) Star,7,413.978,0.4759,Va,8242,2587,Suyarang AB 1 h,771.5719,Icy body,90,1792.9694
Synuefe CE-R c21-34,Synuefe CE-R c21-34 13,863.34,152,Gas giant with water-based life,665.1113,false,Synuefe CE-R c21-34,M (Red dwarf) Star,2,0,0.6244,Va,332,3552,Synuefe CE-R c21-34 13 h,666.6772,Icy body,97,1586.8439
Runga,Runga 2,141.79,151,Gas giant with water-based life,775.3326,false,Runga,M (Red dwarf) Star,4,0,0.6172,Va,2036,3123,Runga 2 g,766.3606,Icy body,81,1599.9664
Synuefe CH-S b50-3,Synuefe CH-S b50-3 A 6,400.45,151,Gas giant with water-based life,497,false,Synuefe CH-S b50-3 A,M (Red dwarf) Star,4,0,0.4984,,384,3249,Synuefe CH-S b50-3 A 6 h,502,Icy body,97,1277.2321
Col 359 Sector HW-M d7-71,Col 359 Sector HW-M d7-71 BC 3,767.32,151,Gas giant with water-based life,39951.582,true,Col 359 Sector HW-M d7-71 C,M (Red dwarf) Star,4,39136.4883,0.5125,Va,2702,3197,Col 359 Sector HW-M d7-71 BC 3 e a,39955.168,Icy body,104,537.9828
Mel 22 Sector TJ-H b10-0,Mel 22 Sector TJ-H b10-0 11,495.60,150,Gas giant with water-based life,624.3506,false,Mel 22 Sector TJ-H b10-0,M (Red dwarf) Star,5,0,0.5826,Vz,212,2933,Mel 22 Sector TJ-H b10-0 11 h,630.4289,Icy body,84,1155.7852
Kanooks,Kanooks BC 4,163.69,150,Gas giant with water-based life,29135.9531,true,Kanooks B,M (Red dwarf) Star,5,30045.2129,0.5477,Va,1622,2978,Kanooks BC 4 h,29128.4531,Icy body,81,1580.9998
HIP 73191,HIP 73191 B 12,483.90,150,Gas giant with water-based life,158074,false,HIP 73191 B,M (Red dwarf) Star,2,158930.4375,0.6223,Va,8684,3437,HIP 73191 B 12 h,157934,Icy body,140,2801.7827
Pleiades Sector RO-Q b5-0,Pleiades Sector RO-Q b5-0 9,362.23,149,Gas giant with ammonia-based life,563.387,false,Pleiades Sector RO-Q b5-0,M (Red dwarf) Star,5,0,0.4778,Va,396,2813,Pleiades Sector RO-Q b5-0 9 h,571.29,Icy body,76,1493.8074
B92 Sector TT-Z b0,B92 Sector TT-Z b0 3,563.17,149,Gas giant with ammonia-based life,721.6306,false,B92 Sector TT-Z b0,M (Red dwarf) Star,5,0,0.481,Va,7784,2868,B92 Sector TT-Z b0 3 h,735.6981,Icy body,105,867.2598
Col 359 Sector QP-U b17-5,Col 359 Sector QP-U b17-5 2,861.28,149,Gas giant with ammonia-based life,739.8858,false,Col 359 Sector QP-U b17-5,M (Red dwarf) Star,2,0,0.6146,Va,5914,3543,Col 359 Sector QP-U b17-5 2 f,745.8497,Icy body,91,1200.027
Synuefai GK-E b58-3,Synuefai GK-E b58-3 12,592.03,149,Gas giant with ammonia-based life,502.5239,false,Synuefai GK-E b58-3,M (Red dwarf) Star,5,0,0.5425,Va,6406,3040,Synuefai GK-E b58-3 12 g,506.7756,Icy body,92,1646.0646
Pleiades Sector EG-W b2-0,Pleiades Sector EG-W b2-0 ABC 4,382.96,148,Gas giant with ammonia-based life,995.9675,true,Pleiades Sector EG-W b2-0 B,M (Red dwarf) Star,9,203.7739,0.3759,Va,3486,2229,Pleiades Sector EG-W b2-0 ABC 4 f,971.7339,Icy body,118,1998.4288
Byllia,Byllia 2,161.59,148,Gas giant with ammonia-based life,516.4493,false,Byllia,M (Red dwarf) Star,2,0,0.5509,Va,10224,3442,Byllia 2 f a,529.7087,Icy body,99,687.5016
Wredguia JI-F b52-4,Wredguia JI-F b52-4 10,433.96,148,Gas giant with ammonia-based life,728.2334,false,Wredguia JI-F b52-4,M (Red dwarf) Star,3,0,0.6468,Va,410,3295,Wredguia JI-F b52-4 10 g,726.4292,Icy body,89,1213.9989
Col 359 Sector UR-B b27-0,Col 359 Sector UR-B b27-0 1,780.28,147,Gas giant with ammonia-based life,497,false,Col 359 Sector UR-B b27-0,M (Red dwarf) Star,6,0,0.4196,,11344,2709,Col 359 Sector UR-B b27-0 1 g a,491,Icy body,73,650.1161
Gluskapuru,Gluskapuru B 1,136.90,147,Gas giant with ammonia-based life,463079.5938,false,Gluskapuru B,M (Red dwarf) Star,1,463407.625,0.5996,Va,2988,3632,Gluskapuru B 1 g,463087.375,Icy body,97,1570.6016
Kolhynichi,Kolhynichi 1,177.77,147,Gas giant with ammonia-based life,527.3661,false,Kolhynichi,M (Red dwarf) Star,6,0,0.4837,Va,8110,2712,Kolhynichi 1 g a,523.1143,Icy body,76,557.8826
Zuruaha,Zuruaha B 3,147.70,145,Gas giant with ammonia-based life,30354.4766,false,Zuruaha B,M (Red dwarf) Star,3,30579.0645,0.6228,Va,782,3326,Zuruaha B 3 g,30351.6191,Icy body,102,1185.8594
Jurati,Jurati 1,121.72,145,Gas giant with ammonia-based life,591.7656,false,Jurati,M (Red dwarf) Star,3,0,0.6056,Va,4286,3330,Jurati 1 g a,600.2719,Icy body,95,615.8509
Witoa,Witoa A 7,135.79,145,Gas giant with ammonia-based life,867.7012,false,Witoa A,M (Red dwarf) Star,5,0,0.5621,Va,710,2953,Witoa A 7 g,878.6534,Icy body,73,1731.8767
Col 285 Sector ER-Q b20-4,Col 285 Sector ER-Q b20-4 2,260.39,145,Gas giant with ammonia-based life,604.3716,false,Col 285 Sector ER-Q b20-4,M (Red dwarf) Star,6,0,0.545,Va,2940,2699,Col 285 Sector ER-Q b20-4 2 g,599.8778,Icy body,75,1697.8236
Col 285 Sector RY-H c10-6,Col 285 Sector RY-H c10-6 D 10,187.20,143,Gas giant with ammonia-based life,520148.7188,false,Col 285 Sector RY-H c10-6 D,M (Red dwarf) Star,2,519427.7812,0.6622,Va,358,3507,Col 285 Sector RY-H c10-6 D 10 h,520140.0312,Icy body,89,1511.11
Hotaiko,Hotaiko BC 1,133.74,143,Gas giant with ammonia-based life,121117.0547,true,Hotaiko C,M (Red dwarf) Star,9,120564.2812,0.4661,Va,1308,2291,Hotaiko BC 1 h,121122.5078,Icy body,101,1342.1368
Col 359 Sector MT-D b27-1,Col 359 Sector MT-D b27-1 6,800.15,143,Gas giant with ammonia-based life,687.0376,false,Col 359 Sector MT-D b27-1,M (Red dwarf) Star,9,0,0.3853,Va,846,2255,Col 359 Sector MT-D b27-1 6 h,685.5965,Icy body,52,2016.7844
IC 2391 Sector BW-V b2-9,IC 2391 Sector BW-V b2-9 2,480.37,143,Gas giant with ammonia-based life,568.9874,false,IC 2391 Sector BW-V b2-9,M (Red dwarf) Star,6,0,0.5334,,4740,2747,IC 2391 Sector BW-V b2-9 2 g,558.1709,Icy body,77,1153.4139
Swoilz DT-D c1-8,Swoilz DT-D c1-8 AB 1,318.67,143,Gas giant with ammonia-based life,1236,true,Swoilz DT-D c1-8 B,M (Red dwarf) Star,8,658,0.3864,Va,6312,2452,Swoilz DT-D c1-8 AB 1 h,1222,Rocky body,125,988.4312
Col 359 Sector JP-W b3-7,Col 359 Sector JP-W b3-7 A 2,384.26,142,Gas giant with ammonia-based life,659.4128,false,Col 359 Sector JP-W b3-7 A,M (Red dwarf) Star,3,0,0.5746,Va,6610,3371,Col 359 Sector JP-W b3-7 A 2 h,652.7342,Icy body,0,1084.9617
Col 285 Sector TD-R b18-0,Col 285 Sector TD-R b18-0 1,246.98,141,Gas giant with ammonia-based life,934.8643,false,Col 285 Sector TD-R b18-0,M (Red dwarf) Star,6,0,0.4864,Va,5308,2676,Col 285 Sector TD-R b18-0 1 g,943.4315,Icy body,58,1502.7856
Helix Sector LH-V b2-0,Helix Sector LH-V b2-0 2,707.71,141,Gas giant with ammonia-based life,814.7608,false,Helix Sector LH-V b2-0,M (Red dwarf) Star,8,0,0.4329,Va,9664,2453,Helix Sector LH-V b2-0 2 f,833.4187,Icy body,53,1576.8387
Synuefe MJ-P b35-0,Synuefe MJ-P b35-0 7,901.09,140,Gas giant with ammonia-based life,518,false,Synuefe MJ-P b35-0,M (Red dwarf) Star,8,0,0.4351,,366,2432,Synuefe MJ-P b35-0 7 g,524,Icy body,119,1641.8025
Col 359 Sector NK-R b20-0,Col 359 Sector NK-R b20-0 1,780.91,140,Gas giant with ammonia-based life,839.16,false,Col 359 Sector NK-R b20-0,M (Red dwarf) Star,6,0,0.4142,Va,1272,2643,Col 359 Sector NK-R b20-0 1 h,845.4625,Icy body,56,717.1269
Praea Euq KS-F b13-1,Praea Euq KS-F b13-1 2,805.20,140,Gas giant with ammonia-based life,689.8891,false,Praea Euq KS-F b13-1,M (Red dwarf) Star,2,0,0.5246,Va,3772,3589,Praea Euq KS-F b13-1 2 h,698.8706,Icy body,88,736.8666
Col 359 Sector EW-B c14-5,Col 359 Sector EW-B c14-5 A 1,734.81,140,Gas giant with ammonia-based life,918,false,Col 359 Sector EW-B c14-5 A,M (Red dwarf) Star,1,0,0.7275,Va,3672,3608,Col 359 Sector EW-B c14-5 A 1 h,934,Icy body,92,864.7415
Lupus Dark Region B Sector IH-V c2-3,Lupus Dark Region B Sector IH-V c2-3 2,463.97,139,Gas giant with ammonia-based life,643,false,Lupus Dark Region B Sector IH-V c2-3,M (Red dwarf) Star,1,0,0.5905,Va,3440,3671,Lupus Dark Region B Sector IH-V c2-3 2 h,632,Icy body,97,1308.5787
Wregoe HH-Q b36-0,Wregoe HH-Q b36-0 1,937.72,139,Gas giant with ammonia-based life,978,false,Wregoe HH-Q b36-0,M (Red dwarf) Star,2,0,0.6576,,11754,3434,Wregoe HH-Q b36-0 1 h,968,Icy body,81,1376.624
Synuefe BZ-Y b33-1,Synuefe BZ-Y b33-1 D 2,503.68,139,Gas giant with ammonia-based life,79800.6406,false,Synuefe BZ-Y b33-1 D,M (Red dwarf) Star,9,79983.3359,0.3705,Va,6748,2349,Synuefe BZ-Y b33-1 D 2 h,79794.1094,Icy body,77,1717.4821
Synuefe DR-B b33-0,Synuefe DR-B b33-0 3,396.52,139,Gas giant with ammonia-based life,643.484,false,Synuefe DR-B b33-0,M (Red dwarf) Star,5,0,0.4617,Va,342,3019,Synuefe DR-B b33-0 3 h,635.4627,Icy body,75,1124.6099
California Sector TE-P b6-0,California Sector TE-P b6-0 7,939.74,139,Gas giant with ammonia-based life,598.698,false,California Sector TE-P b6-0,M (Red dwarf) Star,4,0,0.5894,Va,7646,3161,California Sector TE-P b6-0 7 g,596.3798,Icy body,89,1463.423
Bjorovices,Bjorovices 13,117.74,138,Gas giant with ammonia-based life,974.4943,false,Bjorovices,T Tauri Star,5,0,0.5245,Va,204,2863,Bjorovices 13 h,963.5258,Icy body,104,1406.1656
Synuefe IC-W b21-0,Synuefe IC-W b21-0 9,800.20,138,Gas giant with ammonia-based life,597,false,Synuefe IC-W b21-0,M (Red dwarf) Star,3,0,0.561,,226,3338,Synuefe IC-W b21-0 9 g a,602,Icy body,92,745.0382
Taurus Dark Region DH-U b3-4,Taurus Dark Region DH-U b3-4 13,485.25,137,Gas giant with ammonia-based life,641.862,false,Taurus Dark Region DH-U b3-4,M (Red dwarf) Star,3,0,0.6253,Va,244,3396,Taurus Dark Region DH-U b3-4 13 g,650,Icy body,94,1998.4968
Pencil Sector MD-S b4-1,Pencil Sector MD-S b4-1 1,749.23,137,Gas giant with ammonia-based life,994.8105,false,Pencil Sector MD-S b4-1,M (Red dwarf) Star,4,0,0.5581,Va,4370,3100,Pencil Sector MD-S b4-1 1 h,983,Icy body,116,1400.434
HIP 23702,HIP 23702 D 4,533.83,137,Gas giant with ammonia-based life,31407.6133,false,HIP 23702 D,M (Red dwarf) Star,4,30598.4141,0.5578,Va,4632,3172,HIP 23702 D 4 f,31396.9375,Icy body,86,1343.8701
Hyades Sector LX-T b3-0,Hyades Sector LX-T b3-0 8,231.80,136,Gas giant with ammonia-based life,582.1853,false,Hyades Sector LX-T b3-0,M (Red dwarf) Star,7,0,0.4526,Va,442,2571,Hyades Sector LX-T b3-0 8 h,578.3678,Icy body,112,1378.127
Synuefai SZ-M d8-55,Synuefai SZ-M d8-55 C 2,458.89,136,Gas giant with ammonia-based life,386457.9688,false,Synuefai SZ-M d8-55 C,M (Red dwarf) Star,3,385869.2812,0.5404,Va,6060,3363,Synuefai SZ-M d8-55 C 2 g,386468.625,Icy body,88,1502.4291
Col 285 Sector MR-D b12-0,Col 285 Sector MR-D b12-0 9,233.61,135,Gas giant with ammonia-based life,680.9577,false,Col 285 Sector MR-D b12-0,M (Red dwarf) Star,5,0,0.5699,Vz,222,3089,Col 285 Sector MR-D b12-0 9 g,692.1119,Icy body,80,1960.2344
Col 359 Sector HY-H b27-1,Col 359 Sector HY-H b27-1 AB 1,781.82,135,Gas giant with ammonia-based life,893.2962,true,Col 359 Sector HY-H b27-1 A,M (Red dwarf) Star,4,0,0.6085,,2318,3146,Col 359 Sector HY-H b27-1 AB 1 g a,888.6783,Icy body,75,821.6837
HIP 54642,HIP 54642 AB 2,164.11,134,Gas giant with ammonia-based life,714.2751,true,HIP 54642 A,M (Red dwarf) Star,4,0,0.5341,V,6380,3154,HIP 54642 AB 2 g,709.7225,Icy body,90,1145.7657
Celeng Gu,Celeng Gu A 1,121.26,134,Gas giant with ammonia-based life,773.9934,false,Celeng Gu A,M (Red dwarf) Star,5,0,0.4636,Va,2216,2887,Celeng Gu A 1 h,793.4581,Icy body,104,1084.3751
Col 359 Sector DW-M b24-0,Col 359 Sector DW-M b24-0 9,702.42,134,Gas giant with ammonia-based life,950.0755,false,Col 359 Sector DW-M b24-0,M (Red dwarf) Star,5,0,0.4849,,282,2870,Col 359 Sector DW-M b24-0 9 f,960.672,Icy body,113,1950.176
Swoilz XG-F b1-0,Swoilz XG-F b1-0 2,652.69,134,Gas giant with ammonia-based life,638,false,Swoilz XG-F b1-0,M (Red dwarf) Star,5,0,0.5219,,3390,2816,Swoilz XG-F b1-0 2 g,643,Icy body,73,1849.6067
Blanco 1 Sector YA-D b13-0,Blanco 1 Sector YA-D b13-0 2,929.40,134,Gas giant with ammonia-based life,651.7612,false,Blanco 1 Sector YA-D b13-0,M (Red dwarf) Star,3,0,0.5135,Va,12833,3288,Blanco 1 Sector YA-D b13-0 2 g,668.2043,Icy body,82,1285.8419
Synuefe ME-D b30-0,Synuefe ME-D b30-0 3,703.24,134,Gas giant with ammonia-based life,844.4626,false,Synuefe ME-D b30-0,M (Red dwarf) Star,4,0,0.5859,Va,8836,3144,Synuefe ME-D b30-0 3 h,851.3508,Icy body,74,1521.8149
Scorpii Sector OY-R b4-3,Scorpii Sector OY-R b4-3 2,159.92,132,Gas giant with ammonia-based life,565.7993,false,Scorpii Sector OY-R b4-3,M (Red dwarf) Star,6,0,0.4684,Va,3804,2754,Scorpii Sector OY-R b4-3 2 h,566.404,Icy body,73,2449.709
LHS 1197,LHS 1197 A 2,42.92,132,Gas giant with ammonia-based life,578.2952,false,LHS 1197 A,M (Red dwarf) Star,5,0,0.5138,V,7702,2980,LHS 1197 A 2 g,563.5456,Icy body,81,1693.3979
LP 816-60,LP 816-60 4,18.65,132,Gas giant with ammonia-based life,716.4448,false,LP 816-60,M (Red dwarf) Star,5,0,0.5259,V,8414,2952,LP 816-60 4 h,730.8955,Icy body,37,1281.8347
IC 2391 Sector IB-X b1-4,IC 2391 Sector IB-X b1-4 8,599.68,132,Gas giant with ammonia-based life,854.2698,false,IC 2391 Sector IB-X b1-4,M (Red dwarf) Star,6,0,0.45,Va,468,2616,IC 2391 Sector IB-X b1-4 8 h,834,Icy body,56,1137.2819
Wregoe AO-Y b56-2,Wregoe AO-Y b56-2 A 1,313.53,132,Gas giant with ammonia-based life,709.2469,false,Wregoe AO-Y b56-2 A,M (Red dwarf) Star,5,0,0.5323,Va,6688,2908,Wregoe AO-Y b56-2 A 1 h,712.9384,Icy body,74,1601.3992
Synuefai DE-D b57-1,Synuefai DE-D b57-1 3,618.55,132,Gas giant with ammonia-based life,485.0293,false,Synuefai DE-D b57-1,M (Red dwarf) Star,7,0,0.4982,Va,10494,2567,Synuefai DE-D b57-1 3 f,497.7609,Icy body,74,1762.6692
Pegasi Sector JX-S b4-9,Pegasi Sector JX-S b4-9 8,137.46,131,Gas giant with ammonia-based life,978.0657,false,Pegasi Sector JX-S b4-9,T Tauri Star,4,0,0.5888,Va,208,3159,Pegasi Sector JX-S b4-9 8 h,979.4062,Icy body,124,1441.0092
HIP 17326,HIP 17326 C 1,173.97,130,Gas giant with ammonia-based life,27396.4746,false,HIP 17326 C,M (Red dwarf) Star,5,28196.752,0.5901,Va,11086,3005,HIP 17326 C 1 h,27392.8535,Icy body,95,1228.8831
Wregoe WH-O b47-3,Wregoe WH-O b47-3 A 3,500.94,130,Gas giant with ammonia-based life,839.9863,false,Wregoe WH-O b47-3 A,M (Red dwarf) Star,5,0,0.5246,Va,1578,2965,Wregoe WH-O b47-3 A 3 h,843.4598,Icy body,112,1179.5845
Bahinook,Bahinook BC 1,162.27,129,Gas giant with ammonia-based life,103691.3047,true,Bahinook C,M (Red dwarf) Star,4,103510.2969,0.5363,Va,2262,3113,Bahinook BC 1 g a,103681.3906,Icy body,110,574.6239
Chanii,Chanii 6,156.99,129,Gas giant with ammonia-based life,904.4109,false,Chanii,M (Red dwarf) Star,5,0,0.567,Va,722,2991,Chanii 6 h,913.7048,Icy body,116,1406.5586
Nakaruwuti,Nakaruwuti B 9,240.04,129,Gas giant with ammonia-based life,33053.3086,false,Nakaruwuti B,M (Red dwarf) Star,5,32384.332,0.5857,Va,460,2950,Nakaruwuti B 9 g,33050.0312,Icy body,117,1364.5387
Drevelli,Drevelli 2,179.05,128,Gas giant with ammonia-based life,895,false,Drevelli,M (Red dwarf) Star,3,0,0.615,,3038,3296,Drevelli 2 h,897,Icy body,77,1056.9581
Synuefe IH-T b36-2,Synuefe IH-T b36-2 A 14,395.29,128,Gas giant with ammonia-based life,605.4795,false,Synuefe IH-T b36-2 A,T Tauri Star,6,0,0.5578,Va,208,2743,Synuefe IH-T b36-2 A 14 h,612.3618,Icy body,79,1644.8036
Kuan Yin,Kuan Yin 8,155.07,128,Gas giant with ammonia-based life,711.9729,false,Kuan Yin,M (Red dwarf) Star,5,0,0.4779,Va,550,2972,Kuan Yin 8 g,711.6793,Icy body,124,1639.045
Wregoe PK-X b56-4,Wregoe PK-X b56-4 8,302.28,128,Gas giant with ammonia-based life,948.554,false,Wregoe PK-X b56-4,M (Red dwarf) Star,5,0,0.5755,,424,3071,Wregoe PK-X b56-4 8 g,949.6104,Icy body,124,1581.4561
Col 285 Sector TL-Z b28-0,Col 285 Sector TL-Z b28-0 2,267.42,127,Gas giant with ammonia-based life,465.7176,false,Col 285 Sector TL-Z b28-0,M (Red dwarf) Star,6,0,0.4122,Va,762,2678,Col 285 Sector TL-Z b28-0 2 g,473.8912,Icy body,124,1432.7681
Col 285 Sector ML-R b19-1,Col 285 Sector ML-R b19-1 3,272.86,127,Gas giant with ammonia-based life,480,false,Col 285 Sector ML-R b19-1,M (Red dwarf) Star,8,0,0.4323,,10332,2425,Col 285 Sector ML-R b19-1 3 g a,473,Icy body,164,659.5649
Di Kun,Di Kun 1,156.24,127,Gas giant with ammonia-based life,750.3064,false,Di Kun,M (Red dwarf) Star,5,0,0.5462,Va,2820,2809,Di Kun 1 g,754.5051,Icy body,112,1151.9543
Struve's Lost Sector BQ-P b5-1,Struve's Lost Sector BQ-P b5-1 A 7,531.17,127,Gas giant with ammonia-based life,941,false,Struve's Lost Sector BQ-P b5-1 A,M (Red dwarf) Star,2,0,0.5372,,236,3544,Struve's Lost Sector BQ-P b5-1 A 7 h,943,Icy body,80,1251.1024
Col 359 Sector OZ-D b13-6,Col 359 Sector OZ-D b13-6 AB 2,828.34,127,Gas giant with ammonia-based life,1033.7661,true,Col 359 Sector OZ-D b13-6 B,M (Red dwarf) Star,8,386.7099,0.4278,Va,2282,2402,Col 359 Sector OZ-D b13-6 AB 2 g,1049.1837,Icy body,74,1367.1221
Col 285 Sector FJ-E b26-7,Col 285 Sector FJ-E b26-7 4,240.39,126,Gas giant with ammonia-based life,826.9803,false,Col 285 Sector FJ-E b26-7,M (Red dwarf) Star,5,0,0.492,Va,5520,2874,Col 285 Sector FJ-E b26-7 4 h,823.1992,Icy body,178,996.7064
Wredguia OY-M b48-5,Wredguia OY-M b48-5 BC 4,421.18,126,Gas giant with ammonia-based life,21541.2988,true,Wredguia OY-M b48-5 B,M (Red dwarf) Star,6,22440.2812,0.4559,Va,804,2704,Wredguia OY-M b48-5 BC 4 g,21534.2461,Icy body,122,2227.896
Wregoe UP-E c12-2,Wregoe UP-E c12-2 BCD 7,717.50,126,Gas giant with ammonia-based life,40865.7031,true,Wregoe UP-E c12-2 B,M (Red dwarf) Star,5,40953.4414,0.4792,,300,2981,Wregoe UP-E c12-2 BCD 7 h,40868.707,Icy body,85,1145.7593
Snake Sector FW-W d1-54,Snake Sector FW-W d1-54 ABCD 1,654.40,125,Gas giant with ammonia-based life,3112.7007,true,Snake Sector FW-W d1-54 C,M (Red dwarf) Star,4,2299.0005,0.6377,Va,1224,3180,Snake Sector FW-W d1-54 ABCD 1 h,3109.771,Icy body,111,703.8576
Praea Euq JS-E b14-1,Praea Euq JS-E b14-1 6,899.48,123,Gas giant with ammonia-based life,916.3511,false,Praea Euq JS-E b14-1,M (Red dwarf) Star,5,0,0.4606,Va,5774,2861,Praea Euq JS-E b14-1 6 h,920.4262,Icy body,60,1324.7767
Witch Head Sector MX-U c2-1,Witch Head Sector MX-U c2-1 B 3,874.18,122,Gas giant with ammonia-based life,213956.5156,false,Witch Head Sector MX-U c2-1 B,M (Red dwarf) Star,5,214496.5469,0.5383,Va,12276,2953,Witch Head Sector MX-U c2-1 B 3 g,213972.0156,Icy body,113,1542.7024
Wregoe SF-N c20-32,Wregoe SF-N c20-32 B 3,312.61,122,Gas giant with ammonia-based life,89022,false,Wregoe SF-N c20-32 B,M (Red dwarf) Star,4,88336,0.5953,,3852,3248,Wregoe SF-N c20-32 B 3 h,89012,Icy body,87,1190.7942
Wredguia YP-E c25-1,Wredguia YP-E c25-1 ABC 1,458.14,122,Gas giant with ammonia-based life,1100.4272,true,Wredguia YP-E c25-1 C,M (Red dwarf) Star,8,290.6828,0.3993,Va,5804,2419,Wredguia YP-E c25-1 ABC 1 h,1107.7968,Icy body,119,1235.865
Col 285 Sector OO-Q d5-45,Col 285 Sector OO-Q d5-45 AB 2,266.62,121,Gas giant with ammonia-based life,946,true,Col 285 Sector OO-Q d5-45 A,M (Red dwarf) Star,4,0,0.4744,Va,452,3168,Col 285 Sector OO-Q d5-45 AB 2 f a,944,Icy body,165,862.505
Synuefe NL-V b19-0,Synuefe NL-V b19-0 A 12,971.18,121,Gas giant with ammonia-based life,582.6794,false,Synuefe NL-V b19-0 A,M (Red dwarf) Star,4,0,0.5092,Vz,222,3181,Synuefe NL-V b19-0 A 12 h,585.1005,Icy body,90,1396.2966
Heretia,Heretia 2,126.54,120,Gas giant with ammonia-based life,579.4263,false,Heretia,M (Red dwarf) Star,5,0,0.5481,Va,5840,2843,Heretia 2 g a,589.7376,Icy body,77,560.7456
Hyades Sector PI-S b4-1,Hyades Sector PI-S b4-1 4,195.86,120,Gas giant with ammonia-based life,850.964,false,Hyades Sector PI-S b4-1,M (Red dwarf) Star,7,0,0.4353,Va,8048,2588,Hyades Sector PI-S b4-1 4 h,851.757,Icy body,57,1376.5469
LP 798-44,LP 798-44 AB 1,67.92,120,Gas giant with ammonia-based life,998.9206,true,LP 798-44 B,M (Red dwarf) Star,8,321.7209,0.4241,Va,7206,2412,LP 798-44 AB 1 h,993.6896,Icy body,75,1334.0955
Wredguia NF-N b34-0,Wredguia NF-N b34-0 2,444.42,119,Gas giant with ammonia-based life,817.671,false,Wredguia NF-N b34-0,M (Red dwarf) Star,4,0,0.5056,Va,4138,3132,Wredguia NF-N b34-0 2 h,829.1105,Icy body,121,1501.4803
Hyades Sector PC-V b2-3,Hyades Sector PC-V b2-3 4,269.34,119,Gas giant with ammonia-based life,606.8553,false,Hyades Sector PC-V b2-3,M (Red dwarf) Star,5,0,0.4899,Va,1668,2836,Hyades Sector PC-V b2-3 4 h,615.013,Icy body,119,1209.816
Col 285 Sector HP-B b28-7,Col 285 Sector HP-B b28-7 11,239.44,118,Gas giant with ammonia-based life,905.1834,false,Col 285 Sector HP-B b28-7,M (Red dwarf) Star,5,0,0.5526,Vz,224,2990,Col 285 Sector HP-B b28-7 11 g,901.9644,Icy body,115,1471.7986
Evnici,Evnici 4,171.60,118,Gas giant with ammonia-based life,734.2669,false,Evnici,M (Red dwarf) Star,5,0,0.5405,Va,284,2986,Evnici 4 g,728.1743,Icy body,73,1512.874
Purukuna,Purukuna 2,176.72,116,Gas giant with ammonia-based life,666.6794,false,Purukuna,M (Red dwarf) Star,5,0,0.5373,Va,3686,3059,Purukuna 2 f,673.3267,Icy body,77,1640.7407
Swoilz SK-T b5-0,Swoilz SK-T b5-0 6,955.71,116,Gas giant with ammonia-based life,925,false,Swoilz SK-T b5-0,M (Red dwarf) Star,5,0,0.502,,728,2804,Swoilz SK-T b5-0 6 h,938,Icy body,60,883.8892
Swoilz KI-O b11-1,Swoilz KI-O b11-1 3,582.04,116,Gas giant with ammonia-based life,930.4563,false,Swoilz KI-O b11-1,M (Red dwarf) Star,2,0,0.5688,,3746,3590,Swoilz KI-O b11-1 3 f a,928.3151,Icy body,78,701.9041
LP 349-61,LP 349-61 7,94.38,115,Gas giant with ammonia-based life,719.9235,false,LP 349-61,M (Red dwarf) Star,5,0,0.4994,V,9338,2929,LP 349-61 7 h,719.3611,Icy body,118,1561.9001
Taurus Dark Region ER-V b2-3,Taurus Dark Region ER-V b2-3 A 1,495.84,114,Gas giant with ammonia-based life,670.118,false,Taurus Dark Region ER-V b2-3 A,M (Red dwarf) Star,4,0,0.5775,Va,11734,3150,Taurus Dark Region ER-V b2-3 A 1 h,677.712,Icy body,83,758.4746
Col 285 Sector PZ-F c11-16,Col 285 Sector PZ-F c11-16 BC 2,212.18,113,Gas giant with ammonia-based life,17380.8301,true,Col 285 Sector PZ-F c11-16 B,M (Red dwarf) Star,5,17957.0703,0.4593,Va,954,2894,Col 285 Sector PZ-F c11-16 BC 2 g,17376.3066,Icy body,88,1127.2715
