System name,Distance from Sol (ly),Counting moons of moons,System stars count,System suitable stars count,Gas Body Name,Gas Body Surface Temperature (K),Gas Sub Type,Gas distance from arrival (ls),Gas has multiple stars ?,Gas star as orbit center ?,Gas orbit centers count,Gas orbital eccentricity,Gas semi major axis (ls),Gas semi minor axis (ls),Ref Star Name,Ref Star Sub Type,Ref Star Temp Class,Ref Star Distance from arrival (ls),Ref Star Radius,Ref Star Luminosity,Ref Star Age,Ref Star Temperature,Biggest Suitable Star Radius,8th Moon Name,8th Moon Distance from arrival (ls),8th Moon Sub Type,8th Moon Surface Temperature (K),8th Moon Radius,Star Types,Is populated,Has M or TT Star ?,Coldest M or TT Star temp.,Coldest M or TT Star lum.,Has Toroid Station
Ao,55.51,false,3,3,Ao AB 7,110,Class I gas giant,2551,true,false,2,0.0228,2581.3029645,2580.631945016439,Ao B,M (Red dwarf) Star,7,76,0.4359,Va,10618,2546,0.7788,Ao AB 7 h,2548,Icy body,75,1141.4354,-K (Yellow-Orange) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2546,Va,false
LHS 266,67.53,false,2,2,LHS 266 B 11,109,Gas giant with ammonia-based life,153914,false,true,2,0.0001,918.1692,918.169195409154,LHS 266 B,M (Red dwarf) Star,9,154559,0.3904,Va,1652,2293,0.5799,LHS 266 B 11 h,154015,Icy body,50,1538.0641,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2293,Va,false
LFT 568,54.14,true,1,1,LFT 568 3,109,Class I gas giant,1829,false,true,1,0.0001,1829.152728,1829.1527188542361,LFT 568,M (Red dwarf) Star,6,0,0.4683,V,9076,2739,0.4683,LFT 568 3 g,1805,Icy body,33,2195.4236,-M (Red dwarf) Star-,1,true,2739,V,false
LAWD 96,25.46,false,1,1,LAWD 96 2,109,Class I gas giant,1444,false,true,1,0.012,1445.318082,1445.2140153515618,LAWD 96,White Dwarf (DA) Star,0,0,0.0038,VII,1298,27735,0.0038,LAWD 96 2 h,1440,Icy body,44,1689.4696,-White Dwarf (DA) Star-,1,false,,,false
Tiangchi,91.98,true,1,1,Tiangchi 12,109,Class I gas giant,1177,false,true,1,0.0015,1178.051004,1178.049678691875,Tiangchi,T Tauri Star,4,0,0.5815,Va,208,3166,0.5815,Tiangchi 12 e,1173,Icy body,109,1422.8153,-T Tauri Star-,1,true,3166,Va,false
V397 Hydrae,74.79,false,2,2,V397 Hydrae A 2,108,Class I gas giant,1793,false,true,2,0.001,1793.5736715,1793.5727747129401,V397 Hydrae A,G (White-Yellow) Star,0,0,0.7973,V,7570,4643,0.7973,V397 Hydrae A 2 h,1795,Icy body,84,1166.1549,-G (White-Yellow) Star-M (Red dwarf) Star-,1,true,3119,Va,false
SPOCS 253,85.21,false,4,4,SPOCS 253 A 1,108,Class I gas giant,3446,false,true,2,0.004,3432.5056935000002,3432.478233344611,SPOCS 253 A,F (White) Star,0,0,1.0669,V,4304,6380,1.0669,SPOCS 253 A 1 h,3448,Rocky body,105,518.7513,-M (Red dwarf) Star-T (Brown dwarf) Star-F (White) Star-M (Red dwarf) Star-,1,true,2197,Va,false
Labe,71.84,false,1,1,Labe 8,107,Gas giant with ammonia-based life,3195,false,true,1,0.0048,3186.446328,3186.409619926862,Labe,F (White) Star,0,0,0.9613,VI,716,6317,0.9613,Labe 8 h,3193,Icy body,94,892.0981,-F (White) Star-,1,false,,,false
LHS 5287,60.40,true,1,1,LHS 5287 4,106,Class I gas giant,3590,false,true,1,0.0201,3649.5728685,3648.835562055381,LHS 5287,M (Red dwarf) Star,2,0,0.5826,V,1714,3491,0.5826,LHS 5287 4 f,3591,Icy body,40,1589.1237,-M (Red dwarf) Star-,1,true,3491,V,false
Tiliala,86.98,false,1,1,Tiliala 5,106,Gas giant with ammonia-based life,3114,false,true,1,0.0015,3118.3321455,3118.3286373743636,Tiliala,G (White-Yellow) Star,0,0,1.0986,V,5136,6045,1.0986,Tiliala 5 h,3128,Icy body,92,1013.5971,-G (White-Yellow) Star-,1,false,,,false
57 Zeta Serpentis,76.82,false,4,4,57 Zeta Serpentis CD 1,105,Class I gas giant,435867,true,false,2,0.0007,2992.133781,2992.1330479271337,57 Zeta Serpentis C,K (Yellow-Orange) Star,0,438260,0.808,Vab,2008,4926,1.4124,57 Zeta Serpentis CD 1 h,435867,Icy body,84,1135.4133,-K (Yellow-Orange) Star-F (White) Star-F (White) Star-M (Red dwarf) Star-,1,true,2103,VI,false
Shitici,98.34,true,1,1,Shitici 3,105,Gas giant with ammonia-based life,1192,false,true,1,0.0013,1193.520159,1193.5191504750394,Shitici,M (Red dwarf) Star,5,0,0.4868,Va,9248,3038,0.4868,Shitici 3 f,1189,Icy body,56,1557.649,-M (Red dwarf) Star-,1,true,3038,Va,false
LP 91-140,53.47,false,3,3,LP 91-140 A 1,105,Gas giant with ammonia-based life,982,false,true,2,0.0012,982.940049,982.9393412829099,LP 91-140 A,M (Red dwarf) Star,5,0,0.5043,V,8716,2837,0.5043,LP 91-140 A 1 h,979,Icy body,107,1553.3285,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2837,V,false
G 139-3,42.36,false,1,1,G 139-3 2,105,Class I gas giant,2037,false,true,1,0.0019,2037.138012,2037.1343349625697,G 139-3,M (Red dwarf) Star,6,0,0.4945,V,9414,2787,0.4945,G 139-3 2 h,2043,Icy body,42,1136.1609,-M (Red dwarf) Star-,1,true,2787,V,false
Narasimha,60.89,false,3,3,Narasimha A 4,105,Class I gas giant,3475,false,true,2,0.0007,3476.268432,3476.2675803141296,Narasimha A,F (White) Star,0,0,1.0079,Vb,2324,6000,1.0079,Narasimha A 4 h,3487,Icy body,90,995.4683,-F (White) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2778,Va,false
Geras,58.25,false,2,2,Geras A 7,104,Class I gas giant,1051221,false,true,2,0.0099,2315.882205,2315.7687124116237,Geras,K (Yellow-Orange giant) Star,0,1052929,0.8774,IV,7162,4943,0.8774,Geras A 7 h,1051226,Icy body,117,1881.0248,-K (Yellow-Orange giant) Star-White Dwarf (DC) Star-,1,false,,,false
13 Orionis,90.26,false,1,1,13 Orionis 6,103,Class I gas giant,4219,false,true,1,0.0063,4192.939413,4192.8562032916925,13 Orionis,G (White-Yellow) Star,0,0,1.049,IV,8896,6140,1.049,13 Orionis 6 h,4226,Rocky body,102,790.4165,-G (White-Yellow) Star-,1,false,,,false
BD-07 4419,32.32,false,2,2,BD-07 4419 B 2,103,Gas giant with ammonia-based life,470777,false,true,2,0.0004,1245.217077,1245.21697738263,BD-07 4419 B,M (Red dwarf) Star,2,472024,0.6491,Va,5096,3517,1.1849,BD-07 4419 B 2 h,470788,Icy body,113,947.3606,-F (White) Star-M (Red dwarf) Star-,1,true,3517,Va,false
Clarus,92.19,false,2,2,Clarus A 10,100,Class I gas giant,2132,false,true,2,0.0005,2132.946972,2132.9467053816115,Clarus A,K (Yellow-Orange) Star,0,0,0.739,V,9480,4235,0.739,Clarus A 10 h,2138,Icy body,74,602.1662,-M (Red dwarf) Star-K (Yellow-Orange) Star-,1,true,2977,Va,false
Noti,89.60,true,2,2,Noti 12,100,Class I gas giant,4803,false,true,1,0.0001,4802.324318999999,4802.324294988378,Noti 10,Y (Brown dwarf) Star,9,2587,0.081,V,744,447,1.0807,Noti 12 f,4830,Icy body,77,1002.7346,-Y (Brown dwarf) Star-F (White) Star-,1,false,,,false
LP 404-6,59.33,true,1,1,LP 404-6 6,100,Class I gas giant,1086,false,true,1,0.0001,1085.9845814999999,1085.9845760700769,LP 404-6,M (Red dwarf) Star,5,0,0.5267,V,7284,3026,0.5267,LP 404-6 6 f,1088,Icy body,60,1128.3419,-M (Red dwarf) Star-,1,true,3026,V,false
LHS 28,44.44,false,1,1,LHS 28 4,100,Class I gas giant,617,false,true,1,0,616.969782,616.969782,LHS 28,M (Red dwarf) Star,3,0,0.6124,V,1708,3377,0.6124,LHS 28 4 h,620,Icy body,123,1490.2711,-M (Red dwarf) Star-,1,true,3377,V,false
Maljenni,74.51,false,2,2,Maljenni A 3,100,Class I gas giant,1280,false,true,2,0.0018,1282.6424519999998,1282.6403741175445,Maljenni A,M (Red dwarf) Star,1,0,0.6427,Va,11398,3604,0.6427,Maljenni A 3 h,1274,Icy body,76,786.4076,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2458,Va,false
MCC 858,79.96,false,2,2,MCC 858 A 4,100,Class I gas giant,1014,false,true,2,0.0002,1014.1278615000001,1014.1278412174427,MCC 858 A,M (Red dwarf) Star,5,0,0.5292,V,7826,3096,0.5292,MCC 858 A 4 h,1019,Icy body,205,1484.1163,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2389,Va,true
Recua,95.49,false,1,1,Recua 3,99,Class I gas giant,2483,false,true,1,0.0064,2467.6296255,2467.5790879277597,Recua,G (White-Yellow) Star,0,0,0.9585,Vab,6456,5302,0.9585,Recua 3 h,2486,Icy body,89,522.0942,-G (White-Yellow) Star-,1,false,,,false
Shapash,52.33,true,1,1,Shapash 8,99,Class I gas giant,2152,false,true,1,0.0001,2151.809361,2151.809350240953,Shapash,M (Red dwarf) Star,3,0,0.5701,V,6132,3314,0.5701,Shapash 8 f,2143,Icy body,40,1878.6935,-M (Red dwarf) Star-,1,true,3314,V,false
Li Tzicnii,81.65,false,3,3,Li Tzicnii A 3,99,Class I gas giant,3028,false,true,2,0.0008,3026.4154245,3026.414456046909,Li Tzicnii A,K (Yellow-Orange) Star,0,0,0.905,Vab,8690,5114,0.905,Li Tzicnii A 3 h,3040,Icy body,84,682.1919,-M (Red dwarf) Star-M (Red dwarf) Star-K (Yellow-Orange) Star-,1,true,3038,Va,false
Ejagham,62.00,false,1,1,Ejagham 4,99,Class I gas giant,5693,false,true,1,0.0096,5658.517098,5658.256347524295,Ejagham,F (White) Star,0,0,1.1098,VI,1664,7286,1.1098,Ejagham 4 h,5665,Icy body,87,681.1099,-F (White) Star-,1,false,,,false
LHS 1857,59.21,false,1,1,LHS 1857 2,98,Class I gas giant,353,false,true,1,0.002,353.4452415,353.4445346088101,LHS 1857,M (Red dwarf) Star,7,0,0.4242,V,9960,2554,0.4242,LHS 1857 2 h,357,Icy body,77,991.6484,-M (Red dwarf) Star-,1,true,2554,V,false
Pan,48.23,false,1,1,Pan 1,98,Class I gas giant,1244,false,true,1,0.0026,1241.624241,1241.620044302973,Pan,K (Yellow-Orange) Star,2,0,0.5912,V,12388,3503,0.5912,Pan 1 h,1259,Icy body,57,1537.1249,-K (Yellow-Orange) Star-,1,false,,,false
Ross 193,57.69,false,2,2,Ross 193 B 3,97,Class I gas giant,5270,false,true,2,0.0106,5303.524941,5303.226980598872,Gliese 812 B,White Dwarf (DC) Star,0,0,0.0058,O,12536,4662,0.448,Ross 193 B 3 h,5170,Icy body,20,1402.9501,-White Dwarf (DC) Star-M (Red dwarf) Star-,1,true,2525,V,false
Venegana,87.86,true,2,2,Venegana B 5,97,Class I gas giant,113224,false,true,2,0.0035,744.9645644999999,744.9600015780684,Venegana B,M (Red dwarf) Star,6,113695,0.4461,Va,10618,2644,0.9333,Venegana B 5 f a,113216,Icy body,169,649.3354,-K (Yellow-Orange) Star-M (Red dwarf) Star-,1,true,2644,Va,false
111 Tauri,46.94,false,1,1,111 Tauri 3,97,Class I gas giant,6502,false,true,1,0.037,6730.0305345,6725.422250873902,111 Tauri,F (White) Star,0,0,1.1358,V,3528,6322,1.1358,111 Tauri 3 h,6490,Icy body,118,1456.6394,-F (White) Star-,1,false,,,false
LHS 266,67.53,false,2,2,LHS 266 B 10,96,Class I gas giant,154459,false,true,2,0,629.4449070000001,629.4449070000001,LHS 266 B,M (Red dwarf) Star,9,154559,0.3904,Va,1652,2293,0.5799,LHS 266 B 10 h,154201,Icy body,57,1081.847,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2293,Va,false
LHS 1163,46.25,false,2,2,LHS 1163 A 4,96,Class I gas giant,1797,false,true,2,0.0091,1799.2623285,1799.1878285009204,LHS 1163 A,K (Yellow-Orange) Star,0,0,0.8014,V,8642,4555,0.8014,LHS 1163 A 4 h,1788,Icy body,83,957.9969,-K (Yellow-Orange) Star-M (Red dwarf) Star-,1,true,2496,Va,false
Andowathaku,81.59,false,2,2,Andowathaku A 4,95,Class I gas giant,2483,false,true,2,0.0051,2495.0749005,2495.04245183992,Andowathaku A,M (Red dwarf) Star,5,0,0.5672,Va,916,2882,0.5672,Andowathaku A 4 h,2496,Icy body,49,1565.1001,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2241,Va,false
LTT 14094,92.77,false,3,3,LTT 14094 C 4,95,Class I gas giant,97974,false,true,2,0.0004,702.998244,702.9981877601382,LTT 14094 C,M (Red dwarf) Star,6,98043,0.5094,Va,9920,2611,0.7262,LTT 14094 C 4 h,97970,Icy body,103,768.6734,-K (Yellow-Orange) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2611,Va,false
Paitina,79.40,false,1,1,Paitina 3,93,Class I gas giant,1227,false,true,1,0.0032,1225.456479,1225.450204646765,Paitina,M (Red dwarf) Star,5,0,0.5161,Va,3608,2882,0.5161,Paitina 3 h,1213,Icy body,53,1381.9139,-M (Red dwarf) Star-,1,true,2882,Va,false
Meliae,52.50,false,1,1,Meliae 6,93,Class I gas giant,1169,false,true,1,0.0043,1171.264536,1171.2537076093101,Meliae,M (Red dwarf) Star,4,0,0.5262,V,7078,3127,0.5262,Meliae 6 h,1167,Icy body,59,746.7452,-M (Red dwarf) Star-,1,true,3127,V,false
Walumbhaik,88.99,false,1,1,Walumbhaik 7,92,Class I gas giant,1172,false,true,1,0.0003,1172.761551,1172.761498225729,Walumbhaik,M (Red dwarf) Star,4,0,0.5338,Va,4826,3172,0.5338,Walumbhaik 7 h,1168,Icy body,60,1461.86,-M (Red dwarf) Star-,1,true,3172,Va,false
NLTT 51200,81.57,false,2,2,NLTT 51200 A 2,92,Class I gas giant,902,false,true,2,0.0002,902.300841,902.3008229539829,NLTT 51200 A,M (Red dwarf) Star,3,0,0.5869,V,3266,3385,0.5869,NLTT 51200 A 2 h,902,Icy body,77,593.1765,-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,3385,V,false
Ehlangai,77.58,false,1,1,Ehlangai 6,92,Class I gas giant,2754,false,true,1,0.0003,2754.2580975,2754.2579735583827,Ehlangai,K (Yellow-Orange) Star,0,0,0.7166,Vab,852,4866,0.7166,Ehlangai 6 h,2769,Icy body,107,1012.4919,-K (Yellow-Orange) Star-,1,false,,,false
Boreas,65.48,false,1,1,Boreas 4,92,Class I gas giant,2121,false,true,1,0.001,2122.867071,2122.8660095661994,Boreas,M (Red dwarf) Star,5,0,0.5037,V,3478,2863,0.5037,Boreas 4 h,2123,Icy body,43,954.9272,-M (Red dwarf) Star-,1,true,2863,V,false
LP 421-7,61.56,false,1,1,LP 421-7 2,91,Class I gas giant,1204,false,true,1,0.0005,1202.9513534999999,1202.9512031310712,LP 421-7,M (Red dwarf) Star,5,0,0.4839,V,8876,2835,0.4839,LP 421-7 2 h,1191,Icy body,51,1046.1812,-M (Red dwarf) Star-,1,true,2835,V,false
CD-51 2650,98.37,false,1,1,CD-51 2650 8,91,Class I gas giant,4551,false,true,1,0.1296,4855.7677545,4814.815941949209,CD-51 2650,F (White) Star,0,0,1.0873,V,2152,6504,1.0873,CD-51 2650 8 h,4548,Icy body,77,1182.7274,-F (White) Star-,1,false,,,false
LHS 1101,64.61,true,1,1,LHS 1101 6,91,Class I gas giant,1901,false,true,1,0.0033,1903.9535775,1903.9432104445461,LHS 1101,M (Red dwarf) Star,4,0,0.5713,V,5330,3213,0.5713,LHS 1101 6 f,1910,Icy body,50,1343.0106,-M (Red dwarf) Star-,1,true,3213,V,false
LHS 2412,83.17,true,2,2,LHS 2412 B 4,91,Class I gas giant,471257,false,true,2,0.0046,806.6914830000001,806.6829481589604,LHS 2412 B,M (Red dwarf) Star,7,471516,0.4991,Va,3670,2551,0.5875,LHS 2412 B 4 f a,471265,Icy body,59,646.4136,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2551,Va,false
V374 Pegasi,29.05,false,2,2,V374 Pegasi A 3,91,Class I gas giant,3046,false,true,2,0.0147,3072.9226905,3072.590658629744,V374 Pegasi A,M (Red dwarf) Star,5,0,0.5127,V,7680,2993,0.5127,V374 Pegasi A 3 h,3032,Icy body,23,1180.1714,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2397,Va,false
LTT 2863,97.24,false,1,1,LTT 2863 2,90,Class I gas giant,1585,false,true,1,0,1585.239084,1585.239084,LTT 2863,M (Red dwarf) Star,5,0,0.5369,V,7956,3081,0.5369,LTT 2863 2 h,1582,Icy body,109,1582.6412,-M (Red dwarf) Star-,1,true,3081,V,false
Struve 1321,20.13,false,2,2,Struve 1321 A 4,90,Class I gas giant,43071,false,true,2,0.0008,1132.841151,1132.8407884907735,Struve 1321,M (Red dwarf) Star,5,44123,0.5259,V,7742,2950,0.6486,Struve 1321 A 4 h,43057,Icy body,107,1120.2031,-K (Yellow-Orange) Star-M (Red dwarf) Star-,1,true,2950,V,false
LHS 1122,78.23,false,4,4,LHS 1122 ABC 2,90,Class I gas giant,1445,true,false,2,0.0049,1491.925149,1491.9072383310765,LHS 1122 C,L (Brown dwarf) Star,9,352,0.2576,V,4660,1477,0.5592,LHS 1122 ABC 2 h,1443,Icy body,49,1452.0945,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,3301,V,false
Ao,55.51,false,3,3,Ao AB 8,90,Class I gas giant,3688,true,false,3,0.1168,2.6447265,2.6266245533922894,Ao B,M (Red dwarf) Star,7,76,0.4359,Va,10618,2546,0.7788,Ao AB 8 h,3691,Icy body,179,1093.5896,-K (Yellow-Orange) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2546,Va,false
LTT 1652,72.07,false,2,2,LTT 1652 A 4,89,Class I gas giant,1464,false,true,2,0.1434,1383.4913625,1369.192719094604,LTT 1652 A,K (Yellow-Orange) Star,0,0,0.6745,V,11118,3855,0.6745,LTT 1652 A 4 h,1459,Icy body,79,647.5198,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-,1,false,,,false
Sanna,93.65,true,1,1,Sanna 6,88,Class I gas giant,5251,false,true,1,0.0027,5246.7880724999995,5246.768947922621,Sanna,K (Yellow-Orange) Star,0,0,0.7545,V,5178,4334,0.7545,Sanna 6 f,5243,Icy body,41,1539.5676,-K (Yellow-Orange) Star-,1,false,,,false
Arangorii,26.68,false,2,2,Arangorii A 2,88,Class I gas giant,3141,false,true,2,0.0037,3130.358166,3130.3367386250184,Arangorii A,G (White-Yellow) Star,0,0,0.8112,Vab,3630,5291,0.8112,Arangorii A 2 h,3142,Icy body,77,642.3323,-M (Red dwarf) Star-G (White-Yellow) Star-,1,true,3522,Va,false
Onyaksas,96.68,false,1,1,Onyaksas 2,88,Class I gas giant,803,false,true,1,0.0035,802.6495425,802.6446262564962,Onyaksas,M (Red dwarf) Star,8,0,0.4209,Va,2506,2434,0.4209,Onyaksas 2 h,800,Icy body,50,904.6632,-M (Red dwarf) Star-,1,true,2434,Va,false
Sedia,98.61,true,3,3,Sedia A 4,87,Class I gas giant,3045,false,true,2,0.0088,3064.988511,3064.869832347191,Sedia A,M (Red dwarf) Star,5,0,0.5807,Va,5162,3051,0.5807,Sedia A 4 f,3050,Icy body,39,1751.3099,-M (Red dwarf) Star-L (Brown dwarf) Star-T (Brown dwarf) Star-,1,true,3051,Va,false
AC +40 428-42,92.84,false,2,2,AC +40 428-42 A 3,86,Class I gas giant,1430,false,true,2,0.0001,1429.7990264999999,1429.7990193510045,AC +40 428-42 A,M (Red dwarf) Star,5,0,0.5309,V,8314,3030,0.5309,AC +40 428-42 A 3 h,1418,Icy body,104,1362.8889,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2141,VI,false
BD+22 2632,91.39,true,2,2,BD+22 2632 A 1,86,Class I gas giant,1206,false,true,2,0.0066,1197.9114029999998,1197.885312205511,BD+22 2632 A,M (Red dwarf) Star,4,0,0.5362,V,6548,3102,0.5362,BD+22 2632 A 1 e a,1219,Icy body,60,648.2394,-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,3023,Va,true
LP 149-14,54.57,false,4,4,LP 149-14 A 3,85,Class I gas giant,3328,false,true,2,0.0142,3319.3313595,3318.996687640676,LP 149-14 A,M (Red dwarf) Star,2,0,0.5884,V,3462,3464,0.5884,LP 149-14 A 3 h,3327,Icy body,45,3325.1357,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,3464,V,false
LHS 480,84.92,false,3,3,LHS 480 AB 3,85,Class I gas giant,1391,true,false,2,0.0009,1365.477282,1365.4767289815888,LHS 480 B,L (Brown dwarf) Star,9,240,0.2705,V,8846,1505,0.4844,LHS 480 AB 3 h,1415,Icy body,49,1616.7366,-M (Red dwarf) Star-L (Brown dwarf) Star-L (Brown dwarf) Star-,1,true,2837,V,false
Wolf 324,68.18,false,1,1,Wolf 324 4,84,Class I gas giant,2484,false,true,1,0.0106,2465.4340035,2465.2954915267724,Wolf 324,K (Yellow-Orange) Star,0,0,0.7551,V,8796,4231,0.7551,Wolf 324 4 h,2491,Icy body,53,1097.1921,-K (Yellow-Orange) Star-,1,false,,,false
Wolf 751,32.54,false,1,1,Wolf 751 6,84,Class I gas giant,1669,false,true,1,0.0123,1689.9802335,1689.8523901096974,Wolf 751,M (Red dwarf) Star,3,0,0.5626,V,9148,3302,0.5626,Wolf 751 6 h,1664,Icy body,45,914.6253,-M (Red dwarf) Star-,1,true,3302,V,false
MZ Ursae Majoris,98.33,false,1,1,MZ Ursae Majoris 6,83,Class I gas giant,2973,false,true,1,0.0044,2964.5388045,2964.5101076254787,MZ Ursae Majoris,K (Yellow-Orange) Star,0,0,0.7701,V,8734,4443,0.7701,MZ Ursae Majoris 6 h,2966,Icy body,73,671.7187,-K (Yellow-Orange) Star-,1,false,,,false
VZ Corvi,69.09,false,1,1,VZ Corvi 13,83,Class I gas giant,2440,false,true,2,0.1292,2.095821,2.0782549930166896,VZ Corvi,K (Yellow-Orange) Star,0,0,0.8243,V,9202,4827,0.8243,VZ Corvi 13 h,2442,Icy body,104,775.3976,-K (Yellow-Orange) Star-,1,false,,,false
Tsim Binba,81.76,false,1,1,Tsim Binba 9,82,Class I gas giant,850,false,true,1,0.0036,848.807505,848.8020047095466,Tsim Binba,M (Red dwarf) Star,6,0,0.4749,Va,272,2623,0.4749,Tsim Binba 9 h,844,Icy body,55,1075.4524,-M (Red dwarf) Star-,1,true,2623,Va,false
Umbrigua,51.20,false,3,3,Umbrigua C 3,82,Class I gas giant,95593,false,true,2,0,1415.5274835,1415.5274835,Umbrigua C,M (Red dwarf) Star,3,96431,0.5965,Va,3654,3388,0.7972,Umbrigua C 3 h,95594,Icy body,182,945.5644,-K (Yellow-Orange) Star-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,3388,Va,false
LHS 1101,64.61,false,1,1,LHS 1101 4,82,Class I gas giant,1080,false,true,1,0.0002,1080.645228,1080.6452063870952,LHS 1101,M (Red dwarf) Star,4,0,0.5713,V,5330,3213,0.5713,LHS 1101 4 h,1086,Icy body,109,1423.9272,-M (Red dwarf) Star-,1,true,3213,V,false
Pliny,38.73,false,2,2,Pliny A 6,82,Class I gas giant,1878,false,true,2,0.0005,1877.755815,1877.7555802805084,Pliny,K (Yellow-Orange) Star,0,0,0.6858,V,4678,3937,0.6858,Pliny A 6 h,1887,Icy body,58,1105.5504,-K (Yellow-Orange) Star-M (Red dwarf) Star-,1,true,2751,V,false
Oto,58.27,false,2,2,Oto AB 3,82,Class I gas giant,3125,true,false,1,0.0039,2819.877255,2819.85580975193,Oto B,K (Yellow-Orange) Star,0,910,0.5916,Va,5350,3874,0.9144,Oto AB 3 h,3139,Icy body,102,604.3027,-K (Yellow-Orange) Star-K (Yellow-Orange) Star-,1,false,,,false
Ross 162,95.62,false,1,1,Ross 162 3,81,Class I gas giant,851,false,true,1,0.0001,850.6039229999999,850.6039187469803,Ross 162,K (Yellow-Orange) Star,2,0,0.6187,V,9452,3563,0.6187,Ross 162 3 h,838,Icy body,106,888.7068,-K (Yellow-Orange) Star-,1,false,,,false
14 Geminorum,58.77,true,2,2,14 Geminorum A 6,81,Class I gas giant,2240,false,true,2,0.0052,2251.211157,2251.1807204194047,14 Geminorum A,K (Yellow-Orange giant) Star,0,0,0.5678,III,3538,4329,0.5678,14 Geminorum A 6 f a,2237,Icy body,151,590.1911,-M (Red dwarf) Star-K (Yellow-Orange giant) Star-,1,true,2184,Va,false
Raurugba,96.10,false,3,3,Raurugba A 1,80,Class I gas giant,1091,false,true,2,0.0006,1089.8768205,1089.8766243221546,Raurugba A,M (Red dwarf) Star,5,0,0.5531,Va,1540,2860,0.5531,Raurugba A 1 h,1085,Icy body,60,776.4789,-M (Red dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2213,Va,false
LTT 13415,94.54,false,1,1,LTT 13415 5,79,Class I gas giant,1884,false,true,1,0.0011,1885.839696,1885.8385550666387,LTT 13415,K (Yellow-Orange) Star,0,0,0.7692,V,4950,4478,0.7692,LTT 13415 5 h,1878,Icy body,104,1113.4952,-K (Yellow-Orange) Star-,1,false,,,false
Kakmburu,94.70,false,1,1,Kakmburu 9,79,Class I gas giant,3276,false,true,1,0.0026,3283.353099,3283.34200124777,Kakmburu,K (Yellow-Orange) Star,0,0,0.9752,Va,518,4695,0.9752,Kakmburu 9 h,3283,Icy body,102,737.5066,-K (Yellow-Orange) Star-,1,false,,,false
L 258-146,45.15,false,3,3,L 258-146 A 5,79,Class I gas giant,1330,false,true,2,0.0004,1330.1976285,1330.1975220841855,L 258-146 A,M (Red dwarf) Star,3,0,0.5791,V,5614,3336,0.5791,L 258-146 A 5 h,1337,Icy body,108,905.953,-M (Red dwarf) Star-M (Red dwarf) Star-L (Brown dwarf) Star-,1,true,2740,Va,false
G 180-18,53.45,true,2,2,G 180-18 A 3,79,Class I gas giant,1338,false,true,2,0.0007,1338.4811115,1338.4807835720876,G 180-18 A,M (Red dwarf) Star,5,0,0.5128,V,8808,2940,0.5128,G 180-18 A 3 f,1340,Icy body,53,1210.3563,-L (Brown dwarf) Star-M (Red dwarf) Star-,1,true,2940,V,false
Daramo,77.37,false,4,4,Daramo ABCD 2,78,Class I gas giant,4072,true,false,2,0.1617,85.7789595,84.65010510729566,Daramo C,M (Red dwarf) Star,5,2049,0.5122,Vz,214,2931,0.8959,Daramo ABCD 2 h,4076,Icy body,97,735.8642,-K (Yellow-Orange) Star-M (Red dwarf) Star-M (Red dwarf) Star-M (Red dwarf) Star-,1,true,2020,Vz,true
Meminii,82.50,true,1,1,Meminii 3,78,Class I gas giant,1267,false,true,1,0.0022,1266.6243915,1266.6213262652636,Meminii,M (Red dwarf) Star,5,0,0.5621,Va,1394,2922,0.5621,Meminii 3 f,1262,Icy body,54,1056.8175,-M (Red dwarf) Star-,1,true,2922,Va,false
Batz,75.71,false,1,1,Batz 5,78,Class I gas giant,836,false,true,1,0.0032,838.128798,838.1245067695687,Batz,M (Red dwarf) Star,4,0,0.5459,Va,5220,3106,0.5459,Batz 5 h,841,Icy body,100,710.1918,-M (Red dwarf) Star-,1,true,3106,Va,false
Smethells 1,89.53,false,1,1,Smethells 1 3,76,Class I gas giant,1537,false,true,1,0.0006,1536.8854995,1536.8852228605851,Smethells 1,K (Yellow-Orange) Star,1,0,0.6565,V,9740,3790,0.6565,Smethells 1 3 h,1541,Icy body,57,812.6566,-K (Yellow-Orange) Star-,1,false,,,false
